,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
118,Ervin Johnson,1994,2006,C,6-11,245,"December 21, 1967",New Orleans
119,Frank Johnson,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest
120,George Johnson,1971,1974,C,6-11,245,"June 19, 1947",Stephen F. Austin
121,George Johnson,1973,1986,C-F,6-11,205,"December 18, 1948",Dillard University
122,George Johnson,1979,1986,F-C,6-7,210,"December 8, 1956",St. John's
123,Gus Johnson*,1964,1973,F-C,6-6,230,"December 13, 1938",Idaho
124,Harold Johnson,1947,1947,C,6-6,240,"January 30, 1920",Indiana State University
125,Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984","Oregon, Cal State San Bernardino"
126,JaJuan Johnson,2012,2012,F,6-10,221,"February 8, 1989",Purdue
127,Jalen Johnson,2022,2022,F,6-9,220,"December 18, 2001",Duke
128,James Johnson,2010,2022,F,6-7,240,"February 20, 1987",Wake Forest
129,Joe Johnson,2002,2022,G-F,6-7,240,"June 29, 1981",Arkansas
130,John Johnson,1971,1982,F,6-7,200,"October 18, 1947",Iowa
131,Kannard Johnson,1988,1988,F,6-9,220,"June 24, 1965",Western Kentucky
132,Keldon Johnson,2020,2022,G,6-5,220,"October 11, 1999",Kentucky
133,Ken Johnson,1986,1986,F,6-8,240,"November 7, 1962","USC, Michigan State"
134,Ken Johnson,2003,2003,F-C,6-11,240,"February 1, 1978",Ohio State
135,Keon Johnson,2022,2022,G,6-5,186,"March 10, 2002",Tennessee
136,Kevin Johnson,1988,2000,G,6-1,180,"March 4, 1966",California
137,Larry Johnson,1978,1978,G,6-3,205,"November 28, 1954",Kentucky
138,Larry Johnson,1992,2001,F,6-6,250,"March 14, 1969",UNLV
139,Lee Johnson,1981,1981,F,6-11,205,"June 16, 1957","Montana, Texas A&M University-Commerce"
140,Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane
141,Magic Johnson*,1980,1996,G-F,6-9,215,"August 14, 1959",Michigan State
142,Marques Johnson,1978,1990,F-G,6-7,218,"February 8, 1956",UCLA
143,Mickey Johnson,1975,1986,F,6-10,190,"August 31, 1952",Aurora University
144,Neil Johnson,1967,1973,F-C,6-7,220,"April 17, 1943",Creighton
145,Nick Johnson,2015,2015,G,6-3,202,"December 22, 1992",Arizona
146,Ollie Johnson,1973,1982,F,6-6,200,"May 11, 1949",Temple
147,Omari Johnson,2018,2018,F,6-9,220,"November 26, 1989",Oregon State
148,Orlando Johnson,2013,2016,G,6-5,220,"March 11, 1989","Loyola Marymount, UC Santa Barbara"
149,Ralph Johnson,1950,1953,G,5-11,170,"December 6, 1921",Huntington University
150,Reggie Johnson,1981,1984,F-C,6-9,205,"June 25, 1957",Tennessee
151,Rich Johnson,1969,1971,C,6-7,210,"December 18, 1946",Grambling State University
152,Ron Johnson,1961,1961,F,6-8,215,"July 20, 1938",Minnesota
153,Stanley Johnson,2016,2022,F,6-6,242,"May 29, 1996",Arizona
154,Steffond Johnson,1987,1987,F,6-8,240,"November 4, 1962","LSU, San Diego State"
155,Steve Johnson,1982,1991,C-F,6-10,235,"November 3, 1957",Oregon State
156,Stew Johnson,1968,1976,F-C,6-8,220,"August 19, 1944",Murray State
157,Trey Johnson,2009,2012,G,6-5,218,"August 30, 1984","Alcorn State, Jackson State University"
158,Tyler Johnson,2015,2022,G,6-3,186,"May 7, 1992",Fresno State
159,Vinnie Johnson,1980,1992,G,6-2,200,"September 1, 1956",Baylor
160,Wesley Johnson,2011,2019,F-G,6-7,215,"July 11, 1987","Iowa State, Syracuse"
161,Darius Johnson-Odom,2013,2014,G,6-2,215,"September 28, 1989",Marquette
162,Nate Johnston,1990,1990,F,6-8,210,"December 18, 1966",University of Tampa
163,Neil Johnston*,1952,1959,C,6-8,210,"February 4, 1929",Ohio State
164,Jim Johnstone,1983,1983,C-F,6-11,245,"September 20, 1960",Wake Forest
165,Nikola Jokić,2016,2022,C-F,6-11,284,"February 19, 1995",
166,Howie Jolliff,1961,1963,F-C,6-7,218,"July 20, 1938",Ohio University
167,Alvin Jones,2002,2002,C,6-11,265,"September 9, 1978",Georgia Tech
168,Anthony Jones,1987,1990,G-F,6-6,195,"September 13, 1962","Georgetown, UNLV"
169,Askia Jones,1995,1995,G,6-5,200,"December 3, 1971",Kansas State
170,Bill Jones,1989,1989,F,6-7,175,"March 18, 1966",Iowa
171,Bobby Jones*,1975,1986,F,6-9,210,"December 18, 1951",UNC
172,Bobby Jones,2007,2008,F,6-7,215,"January 9, 1984",Washington
173,Caldwell Jones,1974,1990,C-F,6-11,217,"August 4, 1950",Albany State University
174,Carlik Jones,2022,2022,G,6-1,185,"December 23, 1997","Radford, Louisville"
175,Charles Jones,1984,1998,F-C,6-9,215,"April 3, 1957",Albany State University
176,Charles Jones,1985,1989,F,6-8,215,"January 12, 1962",Louisville
177,Charles Jones,1999,2000,G,6-3,180,"July 17, 1975","Rutgers University, Long Island University"
178,Collis Jones,1972,1975,F,6-7,203,"July 3, 1949",Notre Dame
179,Dahntay Jones,2004,2017,G-F,6-6,225,"December 27, 1980","Rutgers University, Duke"
180,Damian Jones,2017,2022,F-C,6-11,245,"June 30, 1995",Vanderbilt
181,Damon Jones,1999,2009,G,6-3,185,"August 25, 1976",Houston
182,DeQuan Jones,2013,2013,F,6-8,221,"June 20, 1990",Miami (FL)
183,Derrick Jones Jr.,2017,2022,F,6-5,210,"February 15, 1997",UNLV
184,Dominique Jones,2011,2013,G,6-4,215,"October 15, 1988",South Florida
185,Dontae' Jones,1998,1998,F,6-8,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State"
186,Dwayne Jones,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's
187,Dwight Jones,1974,1983,F-C,6-10,210,"February 27, 1952",Houston
188,Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia
189,Eddie Jones,1995,2008,G-F,6-6,190,"October 20, 1971",Temple
190,Edgar Jones,1981,1986,F-C,6-10,225,"June 17, 1956",Nevada
191,Fred Jones,2003,2009,G-F,6-4,210,"March 11, 1979",Oregon
192,Herbert Jones,2022,2022,F,6-8,210,"October 6, 1998",Alabama
193,Hutch Jones,1983,1984,F,6-8,190,"September 1, 1959","Buffalo State, Vanderbilt"
194,Jake Jones,1972,1972,G,6-3,180,"May 9, 1949",Assumption College
195,Jalen Jones,2018,2019,G,6-7,220,"May 27, 1993",Texas A&M
196,James Jones,2004,2017,F-G,6-8,218,"October 4, 1980",Miami (FL)
197,Jemerrio Jones,2019,2022,F,6-5,174,"April 9, 1995","Hill College, New Mexico State"
198,Jimmy Jones,1968,1977,G,6-4,188,"January 1, 1945",Grambling State University
199,Johnny Jones,1968,1969,F,6-7,205,"March 12, 1943","California State University, Los Angeles"
200,Jumaine Jones,2000,2007,F,6-8,218,"February 10, 1979",Georgia
201,K.C. Jones*,1959,1967,G,6-1,200,"May 25, 1932",San Francisco
202,Kai Jones,2022,2022,F-C,6-11,218,"January 19, 2001",Texas
203,Kevin Jones,2013,2013,F,6-8,251,"August 25, 1989",West Virginia
204,Larry Jones,1965,1974,G-F,6-2,180,"September 22, 1942",Toledo
205,Major Jones,1980,1985,F,6-9,225,"July 9, 1953",Albany State University
206,Mark Jones,1984,1984,G,6-1,175,"April 10, 1961",St. Bonaventure
207,Mark Jones,2005,2005,G,6-6,215,"May 25, 1975","Minnesota, Central Florida"
208,Mason Jones,2021,2022,G,6-4,200,"July 21, 1998","Connors State College, Arkansas"
209,Nick Jones,1968,1973,G,6-2,190,"March 28, 1945",Oregon
210,Ozell Jones,1985,1986,C-F,6-11,235,"November 20, 1960","Wichita State, Cal State Fullerton"
211,Perry Jones,2013,2015,F,6-11,235,"September 24, 1991",Baylor
212,Popeye Jones,1994,2004,F,6-8,250,"June 17, 1970",Murray State
213,Rich Jones,1970,1977,F-C,6-6,220,"December 27, 1946",Memphis
214,Robin Jones,1977,1978,F-C,6-9,225,"February 2, 1954",Saint Louis
215,Sam Jones*,1958,1969,G-F,6-4,198,"June 24, 1933",NC Central
216,Shelton Jones,1989,1989,F,6-9,210,"April 6, 1966",St. John's
217,Solomon Jones,2007,2014,F,6-10,230,"July 16, 1984",South Florida
218,Steve Jones,1968,1976,G-F,6-5,205,"October 17, 1942",Oregon
219,Terrence Jones,2013,2019,F,6-9,252,"January 9, 1992",Kentucky
220,Tre Jones,2021,2022,G,6-1,185,"January 8, 2000",Duke
221,Tyus Jones,2016,2022,G,6-0,196,"May 10, 1996",Duke
222,Wah Wah Jones,1950,1952,F,6-4,225,"July 14, 1926",Kentucky
223,Wali Jones,1965,1976,G,6-2,180,"February 14, 1942",Villanova
224,Wil Jones,1970,1978,F,6-8,205,"February 27, 1947",Albany State University
225,Willie Jones,1961,1965,G,6-3,185,"June 29, 1936",Northwestern
226,Adonis Jordan,1994,1999,G,5-11,170,"August 21, 1970",Kansas
227,Charles Jordan,1976,1976,F,6-8,220,"January 31, 1954",Canisius
228,DeAndre Jordan,2009,2022,C,6-11,265,"July 21, 1988",Texas A&M
229,Eddie Jordan,1978,1984,G,6-1,170,"January 29, 1955",Rutgers University
230,Jerome Jordan,2012,2015,C,7-0,253,"September 29, 1986",Tulsa
231,Michael Jordan*,1985,2003,G-F,6-6,198,"February 17, 1963",UNC
232,Reggie Jordan,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State
233,Thomas Jordan,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State
234,Walter Jordan,1981,1981,F,6-7,198,"February 19, 1956",Purdue
235,Phil Jordon,1957,1963,C-F,6-10,205,"September 12, 1933",Whitworth
236,Johnny Jorgensen,1948,1949,G-F,6-2,185,"December 28, 1921",DePaul
237,Noble Jorgensen,1947,1953,C,6-9,228,"May 18, 1925",Iowa
238,Roger Jorgensen,1947,1947,C-F,6-5,200,"September 2, 1920",Ohio State
239,Cory Joseph,2012,2022,G,6-3,200,"August 20, 1991",Texas
240,Garth Joseph,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose
241,Kris Joseph,2013,2013,F,6-7,210,"December 17, 1988",Syracuse
242,Yvon Joseph,1986,1986,C,6-11,245,"October 31, 1957",Georgia Tech
243,Kevin Joyce,1974,1976,G,6-3,190,"June 27, 1951",South Carolina
244,Butch Joyner,1969,1969,F,6-5,200,"April 26, 1945",Indiana
245,Jeff Judkins,1979,1983,G-F,6-6,185,"March 23, 1956",Utah
0,Mfiondu Kabengele,2020,2021,F,6-9,250,"August 14, 1997",Florida State
1,Whitey Kachan,1949,1949,G,6-2,175,"September 15, 1925",DePaul
2,George Kaftan,1949,1953,F,6-3,190,"February 22, 1928",Holy Cross
3,Ed Kalafat,1955,1957,C-F,6-6,245,"October 13, 1932",Minnesota
4,Georgios Kalaitzakis,2022,2022,G-F,6-8,192,"January 2, 1999",
5,Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University
6,Frank Kaminsky,2016,2022,F-C,7-0,240,"April 4, 1993",Wisconsin
7,Ralph Kaplowitz,1947,1948,G-F,6-2,170,"May 18, 1919",NYU
8,Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981",UCLA
9,Tony Kappen,1947,1947,G,5-10,165,"April 13, 1919",
10,Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",
11,Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State
12,George Karl*,1974,1978,G,6-2,190,"May 12, 1951",UNC
13,Ed Kasid,1947,1947,G,5-11,185,"August 13, 1923",
14,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",
15,Leo Katkaveck,1949,1950,G,6-0,185,"April 17, 1923",NC State
16,Bob Kauffman,1969,1975,F-C,6-8,240,"July 13, 1946",Guilford College
17,Sasha Kaun,2016,2016,C,6-11,260,"May 8, 1985",Kansas
18,Wilbert Kautz,1947,1947,G-F,6-0,180,"September 7, 1915",Loyola Chicago
19,Clarence Kea,1981,1982,F,6-6,218,"February 2, 1959",Lamar
20,Mike Kearns,1955,1955,G,6-2,178,"June 18, 1929",Princeton
21,Tommy Kearns,1959,1959,G,5-11,185,"October 6, 1936",UNC
22,Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970",Stanford
23,Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara
24,Bill Keller,1970,1976,G,5-10,177,"August 30, 1947",Purdue
25,Gary Keller,1968,1969,F-C,6-9,220,"June 13, 1944",Florida
26,Ken Keller,1947,1947,G,6-1,180,"August 16, 1922",St. John's
27,Rich Kelley,1976,1986,C-F,7-0,235,"March 23, 1953",Stanford
28,Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961",Ohio State
29,Arvesta Kelly,1968,1972,G,6-2,175,"November 20, 1945",Lincoln University of Missouri
30,Jerry Kelly,1947,1948,F,6-2,172,"June 14, 1918",
31,Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke
32,Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924",NYU
33,Greg Kelser,1980,1985,F,6-7,190,"September 17, 1957",Michigan State
34,Ben Kelso,1974,1974,G,6-3,195,"April 11, 1949",Central Michigan University
35,Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969",Trinity Valley CC
36,Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964",Notre Dame
37,Frank Kendrick,1975,1975,F,6-6,198,"September 11, 1950",Purdue
38,Luke Kennard,2018,2022,G,6-5,206,"June 24, 1996",Duke
39,D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's
40,Goo Kennedy,1972,1977,F-C,6-5,205,"August 23, 1949",TCU
41,Joe Kennedy,1969,1971,F,6-6,210,"January 12, 1947",Duke
42,Pickles Kennedy,1961,1961,G,5-11,180,"May 17, 1938",Temple
43,Larry Kenon,1974,1983,F,6-9,205,"December 13, 1952",Memphis
44,Billy Kenville,1954,1960,G-F,6-2,187,"December 1, 1930",St. Bonaventure
45,Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","Florida State, East Carolina University"
46,Red Kerr,1955,1966,C-F,6-9,230,"July 17, 1932",Illinois
47,Steve Kerr,1989,2003,G,6-3,175,"September 27, 1965",Arizona
48,Jack Kerris,1950,1953,F-C,6-6,215,"January 30, 1925",Loyola Chicago
49,Jerome Kersey,1985,2001,F,6-7,215,"June 26, 1962",Longwood University
50,Tom Kerwin,1968,1968,F,6-7,210,"July 19, 1944",Centenary (LA)
51,Alec Kessler,1991,1994,F-C,6-11,230,"January 13, 1967",Georgia
52,Lari Ketner,2000,2001,F-C,6-9,277,"February 1, 1977",UMass
53,Braxton Key,2022,2022,F,6-8,230,"February 14, 1997","Alabama, Virginia"
54,Julius Keye,1970,1975,F-C,6-10,200,"September 5, 1946","South Carolina State, Alcorn State"
55,Randolph Keys,1989,1996,F-G,6-7,195,"April 19, 1966",Southern Miss
56,Viktor Khryapa,2005,2008,F,6-9,210,"August 3, 1982",
57,Jason Kidd*,1995,2013,G,6-4,205,"March 23, 1973",California
58,Stanton Kidd,2020,2020,F,6-6,215,"March 18, 1992","South Plains College, NC Central, Colorado State"
59,Warren Kidd,1994,1994,F,6-9,235,"September 9, 1970",Middle Tennessee
60,Michael Kidd-Gilchrist,2013,2020,F,6-6,232,"September 26, 1993",Kentucky
61,Irv Kiffin,1980,1980,F,6-9,225,"August 8, 1951",Oklahoma Baptist University
62,Jack Kiley,1952,1953,G,6-1,170,"January 5, 1929",Syracuse
63,Earnie Killum,1971,1971,G,6-3,180,"June 11, 1948",Stetson University
64,Carl Kilpatrick,1980,1980,C,6-10,230,"May 16, 1956",Louisiana-Monroe
65,Sean Kilpatrick,2015,2018,G,6-4,210,"January 6, 1990",Cincinnati
66,Toby Kimball,1967,1975,F-C,6-6,220,"September 7, 1942",UConn
67,Bo Kimble,1991,1993,G,6-4,190,"April 9, 1966","USC, Loyola Marymount"
68,Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966","Central Florida, Xavier"
69,Chad Kinch,1981,1981,G,6-4,190,"May 22, 1958",UNC Charlotte
70,Albert King,1982,1992,F-G,6-6,190,"December 17, 1959",Maryland
71,Bernard King*,1978,1993,F,6-7,205,"December 4, 1956",Tennessee
72,Chris King,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest
73,Dan King,1955,1955,F,6-6,220,"January 7, 1931",Western Kentucky
74,Frankie King,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University
75,George King,1952,1958,G,6-0,175,"August 16, 1928",University of Charleston
76,George King,2019,2022,G-F,6-6,225,"January 15, 1994",Colorado
77,Gerard King,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State
78,Jim King,1964,1973,G,6-2,175,"February 7, 1941",Tulsa
79,Jimmy King,1996,1997,G,6-5,210,"August 9, 1973",Michigan
80,Louis King,2020,2022,F,6-7,205,"April 6, 1999",Oregon
81,Loyd King,1972,1973,G,6-2,180,"May 29, 1949",Virginia Tech
82,Maurice King,1960,1963,G,6-2,195,"March 12, 1935",Kansas
83,Reggie King,1980,1985,F,6-6,225,"February 14, 1957",Alabama
84,Rich King,1992,1995,C,7-2,260,"April 4, 1969",Nebraska
85,Ron King,1974,1974,G,6-4,185,"July 11, 1951",Florida State
86,Stacey King,1990,1997,F-C,6-11,230,"January 29, 1967",Oklahoma
87,Tom King,1947,1947,G,6-0,165,"March 9, 1924",Michigan
88,Bob Kinney,1949,1950,C-F,6-6,215,"September 16, 1920",Rice University
89,Tarence Kinsey,2007,2009,G,6-6,185,"March 21, 1984",South Carolina
90,Andrei Kirilenko,2002,2015,F,6-9,220,"February 18, 1981",
91,Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",New Mexico
92,Walt Kirk,1949,1952,G-F,6-3,173,"September 3, 1924",Illinois
93,Wilbur Kirkland,1970,1970,F,6-7,190,,Cheyney (PA)
94,Corey Kispert,2022,2022,G-F,6-7,220,"March 3, 1999",Gonzaga
95,Jim Kissane,1969,1969,F,6-7,210,"August 17, 1946",Boston College
96,Doug Kistler,1962,1962,F,6-9,210,"March 21, 1938",Duke
97,Curtis Kitchen,1987,1987,F,6-9,235,"January 30, 1964",South Florida
98,Greg Kite,1984,1995,C,6-11,250,"August 5, 1961",BYU
99,Kerry Kittles,1997,2005,G,6-5,179,"June 12, 1974",Villanova
100,Maxi Kleber,2018,2022,F,6-10,240,"January 29, 1992",
101,Joe Kleine,1986,2000,C,6-11,255,"January 4, 1962","Notre Dame, Arkansas"
102,Linas Kleiza,2006,2013,F,6-8,245,"January 3, 1985",Missouri
103,Leo Klier,1949,1950,F-G,6-2,170,"May 21, 1923",Notre Dame
104,Herm Klotz,1948,1948,G,5-7,150,"October 21, 1921",Villanova
105,Duane Klueh,1950,1951,G,6-3,175,"January 6, 1926",Indiana State University
106,Lonnie Kluttz,1971,1971,F,6-7,220,"September 17, 1945",North Carolina A&T
107,Billy Knight,1975,1985,G-F,6-6,195,"June 9, 1952",Pitt
108,Bob Knight,1955,1955,G-F,6-2,185,"April 30, 1929",
109,Brandin Knight,2005,2005,G,6-0,180,"December 16, 1981",Pitt
110,Brandon Knight,2012,2022,G,6-2,182,"December 2, 1991",Kentucky
111,Brevin Knight,1998,2009,G,5-10,173,"November 8, 1975",Stanford
112,Nathan Knight,2021,2022,F-C,6-10,253,"September 20, 1997",William & Mary
113,Negele Knight,1991,1999,G,6-1,175,"March 6, 1967",Dayton
114,Ron Knight,1971,1972,F,6-7,215,"August 4, 1947","California State University, Los Angeles"
115,Toby Knight,1978,1982,F,6-9,210,"May 3, 1955",Notre Dame
116,Travis Knight,1997,2003,C,7-0,235,"September 13, 1974",UConn
117,Lee Knorek,1947,1950,C,6-7,215,"July 15, 1921",Detroit Mercy
118,Dick Knostman,1954,1954,C,6-6,215,"August 9, 1931",Kansas State
119,Rod Knowles,1969,1969,F-C,6-9,215,"February 27, 1946",Davidson
120,Kevin Knox,2019,2022,F,6-7,215,"August 11, 1999",Kentucky
121,Bart Kofoed,1988,1993,G,6-4,210,"March 24, 1964","Hastings College, University of Nebraska at Kearney"
122,Don Kojis,1964,1975,F,6-5,215,"January 15, 1939",Marquette
123,Milo Komenich,1950,1950,F-C,6-7,212,"June 22, 1920",Wyoming
124,Howard Komives,1965,1974,G,6-1,185,"May 9, 1941",Bowling Green
125,Jon Koncak,1986,1996,C-F,7-0,250,"May 17, 1963",SMU
126,John Konchar,2020,2022,G,6-5,210,"March 22, 1996",Purdue-Fort Wayne
127,Tom Kondla,1969,1969,C,6-8,225,"November 30, 1946",Minnesota
128,Bud Koper,1965,1965,G,6-6,210,"August 9, 1942",Oklahoma City University
129,Joe Kopicki,1983,1985,F,6-9,240,"June 12, 1960",Detroit Mercy
130,Furkan Korkmaz,2018,2022,G,6-7,202,"July 24, 1997",
131,Frank Kornet,1990,1991,F,6-9,225,"January 27, 1967",Vanderbilt
132,Luke Kornet,2018,2022,F,7-2,250,"July 15, 1995",Vanderbilt
133,Yaroslav Korolev,2006,2007,F,6-9,203,"May 7, 1987",
134,Kyle Korver,2004,2020,G-F,6-7,212,"March 17, 1981",Creighton
135,Tony Koski,1969,1969,F,6-8,215,"June 26, 1946",Providence
136,Len Kosmalski,1975,1976,C,7-0,245,"November 29, 1951",Tennessee
137,Andy Kostecka,1949,1949,F,6-3,203,"February 10, 1921",Georgetown
138,Harold Kottman,1947,1947,C,6-8,220,"August 22, 1922",Culver-Stockton College
139,Kosta Koufos,2009,2019,C,7-0,245,"February 24, 1989",Ohio State
140,Tom Kozelko,1974,1976,F,6-8,220,"July 1, 1951",Toledo
141,Ronald Kozlicki,1968,1968,F,6-7,215,"December 12, 1944",Northwestern
142,Arvid Kramer,1980,1980,C,6-9,220,"October 2, 1956",Augustana College (SD)
143,Barry Kramer,1965,1970,F-G,6-4,200,"November 10, 1942",NYU
144,Joel Kramer,1979,1983,F-C,6-7,203,"November 30, 1955",San Diego State
145,Steven Kramer,1968,1970,G-F,6-5,200,"January 1, 1945",BYU
146,Dan Kraus,1949,1949,G,6-0,195,"February 13, 1923",Georgetown
147,Herb Krautblatt,1949,1949,G,6-1,190,"November 19, 1926",Rider University
148,Viacheslav Kravtsov,2013,2014,C,7-0,260,"August 25, 1987",
149,Jim Krebs,1958,1964,C-F,6-8,230,"September 8, 1935",SMU
150,Vit Krejci,2022,2022,G,6-8,195,"June 19, 2000",
151,Wayne Kreklow,1981,1981,G,6-4,175,"January 4, 1957",Drake University
152,Tommy Kron,1967,1970,G,6-5,200,"February 28, 1943",Kentucky
153,Tom Kropp,1976,1977,G,6-3,205,"February 12, 1953",University of Nebraska at Kearney
154,Nenad Krstić,2005,2011,C,7-0,240,"July 25, 1983",
155,Larry Krystkowiak,1987,1997,F-C,6-9,220,"September 23, 1964",Montana
156,Steve Kuberski,1970,1978,F-C,6-8,215,"November 6, 1947",Bradley
157,Leo Kubiak,1950,1950,G,5-11,160,"December 25, 1927",Bowling Green
158,Bruce Kuczenski,1984,1984,F,6-10,230,"February 3, 1961",UConn
159,Frank Kudelka,1950,1953,G-F,6-2,193,"June 25, 1925",Saint Mary's
160,John Kuester,1978,1980,G,6-2,180,"February 6, 1955",UNC
161,Ray Kuka,1948,1949,F,6-3,200,"February 17, 1922",Notre Dame
162,Toni Kukoč*,1994,2006,F,6-10,192,"September 18, 1968",
163,Arnoldas Kulboka,2022,2022,F,6-9,198,"January 4, 1998",
164,Jonathan Kuminga,2022,2022,F,6-8,210,"October 6, 2002",
165,Kevin Kunnert,1974,1982,C-F,7-0,230,"November 11, 1951",Iowa
166,Terry Kunze,1968,1968,G-F,6-4,210,"March 11, 1943",Minnesota
167,Mitch Kupchak,1977,1986,F-C,6-9,230,"May 24, 1954",UNC
168,C.J. Kupec,1976,1978,F-C,6-6,220,"January 26, 1953",Michigan
169,Rodions Kurucs,2019,2021,F,6-9,228,"February 5, 1998",
170,Rob Kurz,2009,2009,F,6-9,232,"March 5, 1985",Notre Dame
171,Ibo Kutluay,2005,2005,G,6-6,200,"July 1, 1974",
172,Kyle Kuzma,2018,2022,F,6-9,221,"July 24, 1995",Utah
173,Ognjen Kuzmić,2014,2015,C,7-1,251,"May 16, 1990",
174,Mindaugas Kuzminskas,2017,2018,F,6-9,215,"October 19, 1989",
0,Fred LaCour,1961,1963,G-F,6-5,210.0,"February 7, 1938",San Francisco
1,Raef LaFrentz,1999,2008,F-C,6-11,240.0,"May 29, 1976",Kansas
2,Tom LaGarde,1978,1985,C-F,6-10,220.0,"February 10, 1955",UNC
3,Rusty LaRue,1998,2004,G,6-2,210.0,"December 10, 1973",Wake Forest
4,Rudy LaRusso,1960,1969,F-C,6-7,220.0,"November 11, 1937",Dartmouth College
5,Zach LaVine,2015,2022,G-F,6-5,200.0,"March 10, 1995",UCLA
6,Skal Labissière,2017,2020,F,6-10,235.0,"March 18, 1996",Kentucky
7,Reggie Lacefield,1969,1969,G-F,6-5,230.0,"April 10, 1945",Western Michigan
8,Edgar Lacey,1969,1969,F,6-6,190.0,"August 2, 1944",UCLA
9,Sam Lacey,1971,1983,C,6-10,235.0,"March 28, 1948",New Mexico State
10,Bob Lackey,1973,1974,G-F,6-5,200.0,"April 4, 1949",Marquette
11,Wendell Ladner,1971,1975,F,6-5,220.0,"October 6, 1948",Southern Miss
12,Christian Laettner,1993,2005,F-C,6-11,235.0,"August 17, 1969",Duke
13,Oliver Lafayette,2010,2010,G,6-2,190.0,"May 6, 1984",Houston
14,Bill Laimbeer,1981,1994,C,6-11,245.0,"May 19, 1957",Notre Dame
15,Pete Lalich,1947,1947,F,6-2,190.0,"June 23, 1920",Ohio University
16,Bo Lamar,1974,1977,G,6-1,180.0,"April 7, 1951",Louisiana
17,Anthony Lamb,2021,2022,F,6-6,227.0,"January 20, 1998",University of Vermont
18,Doron Lamb,2013,2014,G,6-4,210.0,"November 6, 1991",Kentucky
19,Jeremy Lamb,2013,2022,G-F,6-5,180.0,"May 30, 1992",UConn
20,John Lambert,1976,1982,C-F,6-10,225.0,"January 14, 1953",USC
21,Jeff Lamp,1982,1989,F-G,6-6,195.0,"March 9, 1959",Virginia
22,Maciej Lampe,2004,2006,C,6-11,275.0,"February 5, 1985",
23,Jim Lampley,1987,1987,C,6-10,230.0,"July 2, 1960","Vanderbilt, Little Rock"
24,Sean Lampley,2003,2004,F,6-7,227.0,"September 3, 1979",California
25,Jock Landale,2022,2022,C,6-11,256.0,"October 25, 1995",Saint Mary's
26,Carl Landry,2008,2016,F,6-9,248.0,"September 19, 1983","Vincennes University, Purdue"
27,Marcus Landry,2010,2010,F,6-7,230.0,"November 1, 1985",Wisconsin
28,Mark Landsberger,1978,1984,F-C,6-8,215.0,"May 21, 1955","Minnesota, Arizona State"
29,Jerome Lane,1989,1993,F,6-6,230.0,"December 4, 1966",Pitt
30,Andrew Lang,1989,2000,C,6-11,245.0,"June 28, 1966",Arkansas
31,Antonio Lang,1995,2000,F-G,6-8,205.0,"May 15, 1972",Duke
32,James Lang,2007,2007,C,6-10,285.0,"October 17, 1983",
33,Trajan Langdon,2000,2002,G,6-3,197.0,"May 13, 1976",Duke
34,Keith Langford,2008,2008,G,6-4,215.0,"September 15, 1983",Kansas
35,Romeo Langford,2020,2022,G,6-4,216.0,"October 25, 1999",Indiana
36,Dan Langhi,2001,2004,F,6-11,220.0,"November 28, 1977",Vanderbilt
37,Bob Lanier*,1971,1984,C,6-11,250.0,"September 10, 1948",St. Bonaventure
38,Stu Lantz,1969,1976,G,6-3,175.0,"July 13, 1946",Nebraska
39,Nicolás Laprovíttola,2017,2017,G,6-4,180.0,"January 31, 1990",
40,York Larese,1962,1962,G,6-4,183.0,"July 18, 1938",UNC
41,Shane Larkin,2014,2018,G,5-11,175.0,"October 2, 1992",Miami (FL)
42,John Laskowski,1976,1977,G,6-6,185.0,"June 7, 1953",Indiana
